transaction_id,merchant_id,timestamp,date,window_label,customer_id,customer_is_new,sku_id,amount,payment_status,is_retry,device_id,ip_id
txn_merchant_electronics_2025-07-01_000000,merchant_electronics,2025-07-01 00:47:17,2025-07-01,baseline,cust_merchant_electronics_existing_143,False,sku_0095,216.62,success,False,dev_00303,ip_00217
txn_merchant_electronics_2025-07-01_000001,merchant_electronics,2025-07-01 01:01:05,2025-07-01,baseline,cust_merchant_electronics_existing_518,False,sku_0078,167.25,success,False,dev_00280,ip_00215
txn_merchant_electronics_2025-07-01_000002,merchant_electronics,2025-07-01 07:28:37,2025-07-01,baseline,cust_merchant_electronics_existing_7,False,sku_0098,673.78,success,False,dev_00080,ip_00111
txn_merchant_electronics_2025-07-01_000003,merchant_electronics,2025-07-01 10:06:05,2025-07-01,baseline,cust_merchant_electronics_existing_368,False,sku_0109,373.57,success,True,dev_00236,ip_00275
txn_merchant_electronics_2025-07-01_000004,merchant_electronics,2025-07-01 03:59:24,2025-07-01,baseline,cust_merchant_electronics_new_2025-07-01_0004,True,sku_0038,689.11,success,False,dev_00296,ip_00099
txn_merchant_electronics_2025-07-01_000005,merchant_electronics,2025-07-01 22:04:02,2025-07-01,baseline,cust_merchant_electronics_existing_297,False,sku_0011,705.96,success,False,dev_00233,ip_00187
txn_merchant_electronics_2025-07-01_000006,merchant_electronics,2025-07-01 05:23:22,2025-07-01,baseline,cust_merchant_electronics_existing_274,False,sku_0090,758.83,success,False,dev_00088,ip_00274
txn_merchant_electronics_2025-07-01_000007,merchant_electronics,2025-07-01 23:15:10,2025-07-01,baseline,cust_merchant_electronics_existing_277,False,sku_0119,566.0,success,False,dev_00394,ip_00029
txn_merchant_electronics_2025-07-01_000008,merchant_electronics,2025-07-01 07:52:02,2025-07-01,baseline,cust_merchant_electronics_existing_411,False,sku_0035,193.02,success,False,dev_00368,ip_00162
txn_merchant_electronics_2025-07-01_000009,merchant_electronics,2025-07-01 06:41:31,2025-07-01,baseline,cust_merchant_electronics_existing_470,False,sku_0019,322.17,success,False,dev_00135,ip_00300
txn_merchant_electronics_2025-07-01_000010,merchant_electronics,2025-07-01 13:57:37,2025-07-01,baseline,cust_merchant_electronics_existing_225,False,sku_0018,481.19,success,True,dev_00057,ip_00079
txn_merchant_electronics_2025-07-01_000011,merchant_electronics,2025-07-01 20:10:50,2025-07-01,baseline,cust_merchant_electronics_existing_66,False,sku_0050,398.05,success,False,dev_00284,ip_00006
txn_merchant_electronics_2025-07-01_000012,merchant_electronics,2025-07-01 21:46:07,2025-07-01,baseline,cust_merchant_electronics_existing_550,False,sku_0097,323.44,success,False,dev_00223,ip_00081
txn_merchant_electronics_2025-07-01_000013,merchant_electronics,2025-07-01 14:00:46,2025-07-01,baseline,cust_merchant_electronics_existing_270,False,sku_0065,645.28,success,False,dev_00321,ip_00153
txn_merchant_electronics_2025-07-01_000014,merchant_electronics,2025-07-01 20:32:38,2025-07-01,baseline,cust_merchant_electronics_existing_383,False,sku_0098,255.01,success,False,dev_00001,ip_00166
txn_merchant_electronics_2025-07-01_000015,merchant_electronics,2025-07-01 15:01:07,2025-07-01,baseline,cust_merchant_electronics_existing_315,False,sku_0031,187.65,success,False,dev_00044,ip_00249
txn_merchant_electronics_2025-07-01_000016,merchant_electronics,2025-07-01 02:48:34,2025-07-01,baseline,cust_merchant_electronics_existing_132,False,sku_0085,458.93,success,False,dev_00311,ip_00217
txn_merchant_electronics_2025-07-01_000017,merchant_electronics,2025-07-01 06:59:34,2025-07-01,baseline,cust_merchant_electronics_existing_206,False,sku_0092,352.62,success,False,dev_00225,ip_00265
txn_merchant_electronics_2025-07-01_000018,merchant_electronics,2025-07-01 14:07:15,2025-07-01,baseline,cust_merchant_electronics_existing_347,False,sku_0003,532.4,success,False,dev_00037,ip_00031
txn_merchant_electronics_2025-07-01_000019,merchant_electronics,2025-07-01 07:04:57,2025-07-01,baseline,cust_merchant_electronics_new_2025-07-01_0019,True,sku_0043,196.06,success,False,dev_00110,ip_00277
txn_merchant_electronics_2025-07-01_000020,merchant_electronics,2025-07-01 04:46:59,2025-07-01,baseline,cust_merchant_electronics_existing_591,False,sku_0061,307.95,success,False,dev_00049,ip_00050
txn_merchant_electronics_2025-07-01_000021,merchant_electronics,2025-07-01 21:27:22,2025-07-01,baseline,cust_merchant_electronics_existing_479,False,sku_0111,623.9,success,False,dev_00051,ip_00032
