merchant_id,date,window_label,transaction_count
merchant_cloudserve,2025-07-01,baseline,37
merchant_cloudserve,2025-07-02,baseline,30
merchant_cloudserve,2025-07-03,baseline,27
merchant_cloudserve,2025-07-04,baseline,26
merchant_cloudserve,2025-07-05,baseline,25
merchant_cloudserve,2025-07-06,baseline,26
merchant_cloudserve,2025-07-07,baseline,32
merchant_cloudserve,2025-07-08,baseline,30
merchant_cloudserve,2025-07-09,baseline,37
merchant_cloudserve,2025-07-10,baseline,40
merchant_cloudserve,2025-07-11,baseline,25
merchant_cloudserve,2025-07-12,baseline,29
merchant_cloudserve,2025-07-13,baseline,39
merchant_cloudserve,2025-07-14,baseline,34
merchant_cloudserve,2025-07-15,baseline,29
merchant_cloudserve,2025-07-16,baseline,27
merchant_cloudserve,2025-07-17,baseline,28
merchant_cloudserve,2025-07-18,baseline,34
merchant_cloudserve,2025-07-19,baseline,25
merchant_cloudserve,2025-07-20,baseline,37
merchant_cloudserve,2025-07-21,baseline,37
merchant_cloudserve,2025-07-22,baseline,32
merchant_cloudserve,2025-07-23,baseline,31
merchant_cloudserve,2025-07-24,baseline,26
merchant_cloudserve,2025-07-25,baseline,26
merchant_cloudserve,2025-07-26,baseline,27
merchant_cloudserve,2025-07-27,baseline,30
merchant_cloudserve,2025-07-28,baseline,35
merchant_cloudserve,2025-07-29,baseline,31
merchant_cloudserve,2025-07-30,baseline,34
merchant_cloudserve,2025-07-31,baseline,35
merchant_cloudserve,2025-08-01,baseline,27
merchant_cloudserve,2025-08-02,baseline,37
merchant_cloudserve,2025-08-03,baseline,40
merchant_cloudserve,2025-08-04,baseline,28
merchant_cloudserve,2025-08-05,fraud_spike,168
merchant_cloudserve,2025-08-06,fraud_spike,168
merchant_cloudserve,2025-08-07,fraud_spike,240
merchant_cloudserve,2025-08-08,fraud_spike,228
merchant_cloudserve,2025-08-09,fraud_spike,216
merchant_cloudserve,2025-08-10,baseline,40
merchant_cloudserve,2025-08-11,baseline,37
merchant_cloudserve,2025-08-12,baseline,36
merchant_cloudserve,2025-08-13,baseline,30
merchant_cloudserve,2025-08-14,baseline,33
merchant_cloudserve,2025-08-15,baseline,38
merchant_cloudserve,2025-08-16,baseline,39
merchant_cloudserve,2025-08-17,baseline,39
merchant_cloudserve,2025-08-18,baseline,29
merchant_cloudserve,2025-08-19,baseline,29
merchant_cloudserve,2025-08-20,baseline,30
merchant_cloudserve,2025-08-21,baseline,32
merchant_cloudserve,2025-08-22,baseline,30
merchant_cloudserve,2025-08-23,baseline,26
merchant_cloudserve,2025-08-24,baseline,36
merchant_electronics,2025-07-01,baseline,25
merchant_electronics,2025-07-02,baseline,36
merchant_electronics,2025-07-03,baseline,36
merchant_electronics,2025-07-04,baseline,32
merchant_electronics,2025-07-05,baseline,29
merchant_electronics,2025-07-06,baseline,22
merchant_electronics,2025-07-07,baseline,34
merchant_electronics,2025-07-08,baseline,27
merchant_electronics,2025-07-09,baseline,38
merchant_electronics,2025-07-10,baseline,22
merchant_electronics,2025-07-11,baseline,26
merchant_electronics,2025-07-12,baseline,24
merchant_electronics,2025-07-13,baseline,30
merchant_electronics,2025-07-14,baseline,38
merchant_electronics,2025-07-15,baseline,34
merchant_electronics,2025-07-16,baseline,35
merchant_electronics,2025-07-17,baseline,38
merchant_electronics,2025-07-18,baseline,22
merchant_electronics,2025-07-19,baseline,38
merchant_electronics,2025-07-20,baseline,22
merchant_electronics,2025-07-21,baseline,25
merchant_electronics,2025-07-22,baseline,38
merchant_electronics,2025-07-23,baseline,24
merchant_electronics,2025-07-24,baseline,28
merchant_electronics,2025-07-25,baseline,25
merchant_electronics,2025-07-26,baseline,30
merchant_electronics,2025-07-27,baseline,26
merchant_electronics,2025-07-28,baseline,23
merchant_electronics,2025-07-29,baseline,38
merchant_electronics,2025-07-30,baseline,35
merchant_electronics,2025-07-31,baseline,31
merchant_electronics,2025-08-01,baseline,29
merchant_electronics,2025-08-02,baseline,28
merchant_electronics,2025-08-03,baseline,32
merchant_electronics,2025-08-04,baseline,28
merchant_electronics,2025-08-05,baseline,27
merchant_electronics,2025-08-06,baseline,24
merchant_electronics,2025-08-07,baseline,22
merchant_electronics,2025-08-08,baseline,24
merchant_electronics,2025-08-09,baseline,26
merchant_electronics,2025-08-10,baseline,24
merchant_electronics,2025-08-11,baseline,30
merchant_electronics,2025-08-12,baseline,30
merchant_electronics,2025-08-13,baseline,29
merchant_electronics,2025-08-14,baseline,24
merchant_electronics,2025-08-15,baseline,32
merchant_electronics,2025-08-16,baseline,34
merchant_electronics,2025-08-17,baseline,31
merchant_electronics,2025-08-18,baseline,34
merchant_electronics,2025-08-19,baseline,32
merchant_electronics,2025-08-20,baseline,22
merchant_electronics,2025-08-21,baseline,34
merchant_electronics,2025-08-22,baseline,28
merchant_electronics,2025-08-23,baseline,23
merchant_electronics,2025-08-24,baseline,32
merchant_fashion,2025-07-01,baseline,27
merchant_fashion,2025-07-02,baseline,17
merchant_fashion,2025-07-03,baseline,15
merchant_fashion,2025-07-04,baseline,20
merchant_fashion,2025-07-05,baseline,22
merchant_fashion,2025-07-06,baseline,24
merchant_fashion,2025-07-07,baseline,27
merchant_fashion,2025-07-08,baseline,17
merchant_fashion,2025-07-09,baseline,20
merchant_fashion,2025-07-10,baseline,25
merchant_fashion,2025-07-11,baseline,27
merchant_fashion,2025-07-12,baseline,21
merchant_fashion,2025-07-13,baseline,17
merchant_fashion,2025-07-14,baseline,18
merchant_fashion,2025-07-15,baseline,21
merchant_fashion,2025-07-16,baseline,26
merchant_fashion,2025-07-17,baseline,18
merchant_fashion,2025-07-18,baseline,18
merchant_fashion,2025-07-19,baseline,16
merchant_fashion,2025-07-20,baseline,25
merchant_fashion,2025-07-21,baseline,18
merchant_fashion,2025-07-22,baseline,17
merchant_fashion,2025-07-23,baseline,16
merchant_fashion,2025-07-24,baseline,24
merchant_fashion,2025-07-25,baseline,28
merchant_fashion,2025-07-26,baseline,20
merchant_fashion,2025-07-27,baseline,25
merchant_fashion,2025-07-28,baseline,18
merchant_fashion,2025-07-29,baseline,17
merchant_fashion,2025-07-30,baseline,22
merchant_fashion,2025-07-31,baseline,23
merchant_fashion,2025-08-01,baseline,27
merchant_fashion,2025-08-02,baseline,27
merchant_fashion,2025-08-03,baseline,21
merchant_fashion,2025-08-04,baseline,28
merchant_fashion,2025-08-05,baseline,24
merchant_fashion,2025-08-06,baseline,17
merchant_fashion,2025-08-07,baseline,27
merchant_fashion,2025-08-08,baseline,27
merchant_fashion,2025-08-09,baseline,28
merchant_fashion,2025-08-10,baseline,24
merchant_fashion,2025-08-11,baseline,25
merchant_fashion,2025-08-12,baseline,87
merchant_fashion,2025-08-13,baseline,59
merchant_fashion,2025-08-14,baseline,63
merchant_fashion,2025-08-15,baseline,24
merchant_fashion,2025-08-16,baseline,22
merchant_fashion,2025-08-17,baseline,23
merchant_fashion,2025-08-18,baseline,15
merchant_fashion,2025-08-19,baseline,25
merchant_fashion,2025-08-20,baseline,24
merchant_fashion,2025-08-21,baseline,26
merchant_fashion,2025-08-22,baseline,22
merchant_fashion,2025-08-23,baseline,25
merchant_fashion,2025-08-24,baseline,28
merchant_grocery,2025-07-01,baseline,37
merchant_grocery,2025-07-02,baseline,51
merchant_grocery,2025-07-03,baseline,49
merchant_grocery,2025-07-04,baseline,39
merchant_grocery,2025-07-05,baseline,45
merchant_grocery,2025-07-06,baseline,48
merchant_grocery,2025-07-07,baseline,53
merchant_grocery,2025-07-08,baseline,39
merchant_grocery,2025-07-09,baseline,41
merchant_grocery,2025-07-10,baseline,43
merchant_grocery,2025-07-11,baseline,41
merchant_grocery,2025-07-12,baseline,51
merchant_grocery,2025-07-13,baseline,59
merchant_grocery,2025-07-14,baseline,37
merchant_grocery,2025-07-15,baseline,55
merchant_grocery,2025-07-16,baseline,38
merchant_grocery,2025-07-17,baseline,49
merchant_grocery,2025-07-18,baseline,54
merchant_grocery,2025-07-19,baseline,38
merchant_grocery,2025-07-20,baseline,49
merchant_grocery,2025-07-21,baseline,60
merchant_grocery,2025-07-22,baseline,46
merchant_grocery,2025-07-23,baseline,49
merchant_grocery,2025-07-24,baseline,35
merchant_grocery,2025-07-25,baseline,58
merchant_grocery,2025-07-26,baseline,42
merchant_grocery,2025-07-27,baseline,40
merchant_grocery,2025-07-28,baseline,49
merchant_grocery,2025-07-29,baseline,36
merchant_grocery,2025-07-30,baseline,39
merchant_grocery,2025-07-31,organic_spike,203
merchant_grocery,2025-08-01,organic_spike,168
merchant_grocery,2025-08-02,organic_spike,199
merchant_grocery,2025-08-03,organic_spike,178
merchant_grocery,2025-08-04,baseline,51
merchant_grocery,2025-08-05,baseline,54
merchant_grocery,2025-08-06,baseline,53
merchant_grocery,2025-08-07,baseline,56
merchant_grocery,2025-08-08,baseline,42
merchant_grocery,2025-08-09,baseline,55
merchant_grocery,2025-08-10,baseline,53
merchant_grocery,2025-08-11,baseline,43
merchant_grocery,2025-08-12,baseline,50
merchant_grocery,2025-08-13,baseline,49
merchant_grocery,2025-08-14,baseline,47
merchant_grocery,2025-08-15,baseline,55
merchant_grocery,2025-08-16,baseline,38
merchant_grocery,2025-08-17,baseline,52
merchant_grocery,2025-08-18,baseline,51
merchant_grocery,2025-08-19,baseline,48
merchant_grocery,2025-08-20,baseline,58
merchant_grocery,2025-08-21,baseline,50
merchant_grocery,2025-08-22,baseline,45
merchant_grocery,2025-08-23,baseline,50
merchant_grocery,2025-08-24,baseline,59
merchant_pharmacy,2025-07-01,baseline,20
merchant_pharmacy,2025-07-02,baseline,10
merchant_pharmacy,2025-07-03,baseline,14
merchant_pharmacy,2025-07-04,baseline,12
merchant_pharmacy,2025-07-05,baseline,10
merchant_pharmacy,2025-07-06,baseline,13
merchant_pharmacy,2025-07-07,baseline,20
merchant_pharmacy,2025-07-08,baseline,16
merchant_pharmacy,2025-07-09,baseline,15
merchant_pharmacy,2025-07-10,baseline,17
merchant_pharmacy,2025-07-11,baseline,11
merchant_pharmacy,2025-07-12,baseline,10
merchant_pharmacy,2025-07-13,baseline,13
merchant_pharmacy,2025-07-14,baseline,16
merchant_pharmacy,2025-07-15,baseline,12
merchant_pharmacy,2025-07-16,baseline,12
merchant_pharmacy,2025-07-17,baseline,14
merchant_pharmacy,2025-07-18,baseline,12
merchant_pharmacy,2025-07-19,baseline,15
merchant_pharmacy,2025-07-20,baseline,13
merchant_pharmacy,2025-07-21,baseline,12
merchant_pharmacy,2025-07-22,baseline,10
merchant_pharmacy,2025-07-23,baseline,18
merchant_pharmacy,2025-07-24,baseline,20
merchant_pharmacy,2025-07-25,baseline,20
merchant_pharmacy,2025-07-26,baseline,16
merchant_pharmacy,2025-07-27,baseline,14
merchant_pharmacy,2025-07-28,baseline,18
merchant_pharmacy,2025-07-29,baseline,13
merchant_pharmacy,2025-07-30,baseline,20
merchant_pharmacy,2025-07-31,baseline,16
merchant_pharmacy,2025-08-01,baseline,11
merchant_pharmacy,2025-08-02,baseline,16
merchant_pharmacy,2025-08-03,baseline,15
merchant_pharmacy,2025-08-04,baseline,18
merchant_pharmacy,2025-08-05,baseline,19
merchant_pharmacy,2025-08-06,baseline,18
merchant_pharmacy,2025-08-07,baseline,12
merchant_pharmacy,2025-08-08,baseline,20
merchant_pharmacy,2025-08-09,baseline,17
merchant_pharmacy,2025-08-10,baseline,16
merchant_pharmacy,2025-08-11,baseline,17
merchant_pharmacy,2025-08-12,baseline,19
merchant_pharmacy,2025-08-13,baseline,10
merchant_pharmacy,2025-08-14,baseline,17
merchant_pharmacy,2025-08-15,baseline,17
merchant_pharmacy,2025-08-16,baseline,20
merchant_pharmacy,2025-08-17,baseline,14
merchant_pharmacy,2025-08-18,baseline,16
merchant_pharmacy,2025-08-19,baseline,20
merchant_pharmacy,2025-08-20,baseline,17
